vej_stykke_paavirket,bygning_paavirket
bytes=0-12943,bytes=0-12943
bytes=18960-38159,bytes=10744-24823
bytes=257880-258559,bytes=123784-340103
bytes=561240-563159,bytes=1925904-1929103
bytes=4080440-4088759,bytes=5363984-5376783
bytes=8932920-8956599,bytes=30758104-30800383
bytes=65241800-65371759,bytes=85776344-85964543
bytes=142878920-142879639,bytes=0-12943
bytes=143253960-143254679,bytes=10744-24823
bytes=748392456-748507895,bytes=123144-340103
bytes=748808912-749230271,bytes=1922704-1952143
bytes=142878920-142879639,bytes=5363984-5376783
bytes=142878920-142879639,bytes=30759384-31169663
bytes=143253960-143254679,bytes=85776344-85964543
bytes=143253960-143254679,bytes=438792328-439092847
bytes=748435088-749079727,bytes=440950792-440956599
bytes=750704424-751130047,bytes=441422104-442307823
bytes=752583904-753122391,bytes=442701328-442729727
bytes=748503632-748806623,bytes=443080032-443149279
bytes=750886088-751375687,bytes=443485792-444914935
bytes=751731960-751826591,bytes=0-12943
bytes=752241080-753463831,bytes=10744-24823
bytes=0-12943,bytes=123144-340103
bytes=18960-38159,bytes=1922704-1952143
bytes=257240-261079,bytes=5363984-5376783
bytes=561240-563159,bytes=30759384-31170943
bytes=4081720-4127799,bytes=85776344-85964543
bytes=8932920-8956599,bytes=438792328-439061191
bytes=65260360-65307759,bytes=440950792-440953023
bytes=65613000-65995119,bytes=441651040-442317983
bytes=142878920-142879639,bytes=442697104-442729727
bytes=143253960-143254679,bytes=443049824-444932503
bytes=748498552-748807967,bytes=443049824-444932503
bytes=750878040-751321711,bytes=443049824-444932503
bytes=751732472-751825303,bytes=443049824-444932503
bytes=752252896-753437807,bytes=443049824-444932503

